icao,manufacturer,model,icaoClass,aircraftCategoryCode,aircraftType,engineCount,engineType
BN2T,BRITTEN-NORMAN,BN-2T Turbine Islander,LandPlane,1,5,2,3
BO40,BOEING,40,LandPlane,1,4,1,1
BOLT,STEEN,Skybolt,LandPlane,1,4,1,1
BOOM,RUTAN,202 Boomerang,LandPlane,1,5,2,1
BPAT,R & B,Bearhawk Patrol,LandPlane,1,4,1,1
BPOD,SCALED,367 BiPod,LandPlane,1,5,4,10
BPUM,BDC AERO,Puma,LandPlane,1,4,1,1
BR14,BREGUET,14 Replica,LandPlane,1,4,1,1
BR23,BRM AERO,Bristell B23,LandPlane,1,4,1,1
BR54,BARNETT,BRC-540,Gyrocopter,1,9,1,1
BR60,BRUMBY,600,LandPlane,1,4,1,1
BR61,BRUMBY,610 Evolution,LandPlane,1,4,1,1
BR8,BRM AERO,Bristell B8,LandPlane,1,4,1,1
BRAV,TECNAM,P-2004 Bravo,LandPlane,1,4,1,1
BRB2,BRANTLY,B-2,Helicopter,1,6,1,1
BREZ,AEROSTYLE,Breezer,LandPlane,1,4,1,1
BROU,MAX HOLSTE,MH-1521 Broussard,LandPlane,1,4,1,1
BS60,BEECH-SFERMA,60 Marquis,LandPlane,1,5,2,3
BSTP,BELL,214ST SuperTransport,Helicopter,1,6,2,3
BT36,BEECH,B36TC Bonanza,LandPlane,1,4,1,1
BT7,BOEING,T-7 Red Hawk,LandPlane,1,4,1,4
BTUB,KIMBREL,Dormoy Bathtub,LandPlane,1,4,1,1
BU20,AIRCRAFT HYDRO-FORMING,Bushmaster 2000,LandPlane,1,5,3,1
BU31,BUCKER,Bü-131 Jungmann,LandPlane,1,4,1,1
BU33,BUCKER,Bü-133 Jungmeister,LandPlane,1,4,1,1
BU81,BUCKER,Bü-181 Bestmann,LandPlane,1,4,1,1
BUC,HAWKER SIDDELEY,Buccaneer,LandPlane,1,5,2,4
BUCA,ADVANCED AVIATION,Buccaneer,Amphibian,3,4,1,1
BULT,BROKAW,BJ-520 Bullet,LandPlane,1,4,1,1
BUSH,RAINBOW SKYREACH,BushCat,LandPlane,1,4,1,1
BW60,BLACKWING,BW-600,LandPlane,1,4,1,1
BW6T,BLACKWING,BW-635,LandPlane,1,4,1,1
BX2,BRANDLI,BX-2 Cherry,LandPlane,1,4,1,1
C02T,CESSNA,402 (turbine),LandPlane,1,5,2,3
C04T,CESSNA,404 (turbine),LandPlane,1,5,2,3
C06T,CESSNA,206 (turbine),LandPlane,1,4,1,3
C07T,CESSNA,207 (turbine),LandPlane,1,4,1,3
C08T,SOLOY,208 Dual-Pac Caravan,LandPlane,1,1,0,3
C1,KAWASAKI,C-1,LandPlane,1,5,2,4
C101,CASA,C-101 Aviojet,LandPlane,1,4,1,4
C10T,CESSNA,P210 (turbine),LandPlane,1,4,1,3
C119,FAIRCHILD (1),C-119 Flying Boxcar,LandPlane,1,5,2,1
C120,CESSNA,120,LandPlane,1,4,1,1
C123,FAIRCHILD (1),C-123 Provider,LandPlane,1,5,2,1
C125,NORTHROP,C-125 Raider,LandPlane,1,5,3,1
C130,LOCKHEED,C-130H Hercules,LandPlane,1,5,4,3
C135,BOEING,WC-135,LandPlane,1,5,4,4
C140,CESSNA,140,LandPlane,1,4,1,1
C141,LOCKHEED,C-141 Starlifter,LandPlane,1,5,4,4
C14T,CESSNA,414 (turbine),LandPlane,1,5,2,3
C15,MCDONNELL DOUGLAS,YC-15,LandPlane,1,5,4,4
C150,CESSNA,A150 Aerobat,LandPlane,1,4,1,1
C152,CESSNA,A152 Aerobat,LandPlane,1,4,1,1
C160,TRANSALL,C-160,LandPlane,1,5,2,3
C162,CESSNA,162 Skycatcher,LandPlane,1,4,1,1
C17,BOEING,C-17 Globemaster 3,LandPlane,1,5,4,4
C170,CESSNA,170,LandPlane,1,4,1,1
C172,CESSNA,172 Skyhawk,LandPlane,1,4,1,1
C175,CESSNA,175 Skylark,LandPlane,1,4,1,1
C177,CESSNA,177 Cardinal,LandPlane,1,4,1,1
C180,CESSNA,180 Skywagon 180,LandPlane,1,4,1,1
C182,CESSNA,182 Skylane,LandPlane,1,4,1,1
C185,CESSNA,185 Skywagon,LandPlane,1,4,1,1
C188,CESSNA,188 AgWagon,LandPlane,1,4,1,1
C190,CESSNA,190,LandPlane,1,4,1,1
C195,CESSNA,195,LandPlane,1,4,1,1
C2,GRUMMAN,C-2 Greyhound,LandPlane,1,5,2,3
C205,CESSNA,205,LandPlane,1,4,1,1
C206,CESSNA,206 Stationair,LandPlane,1,4,1,1
C207,CESSNA,207 Stationair 7,LandPlane,1,4,1,1
C208,CESSNA,208 Caravan 1,LandPlane,1,4,1,3
C210,CESSNA,210 Centurion,LandPlane,1,4,1,1
C212,CASA,C-212 Aviocar,LandPlane,1,5,2,3
C21T,CESSNA,421 (turbine),LandPlane,1,5,2,3
C22J,CAPRONI VIZZOLA,C-22J Ventura,LandPlane,1,5,2,4
C240,CESSNA,T240 Corvalis TTx,LandPlane,1,4,1,1
C25A,CESSNA,525A Citation CJ2,LandPlane,1,5,2,4
C25B,CESSNA,525B Citation CJ3,LandPlane,1,5,2,4
C25C,CESSNA,525C Citation CJ4,LandPlane,1,5,2,4
C25M,CESSNA,525 Citation M2,LandPlane,1,5,2,4
C270,CAUDRON,C-270 Luciole,LandPlane,1,4,1,1
C27J,ALENIA,C-27J Spartan,LandPlane,1,5,2,3
C295,CASA,C-295 Persuader,LandPlane,1,5,2,3
C303,CESSNA,T303 Crusader,LandPlane,1,5,2,1
C306,CEA-UFMG,CEA-306 CB-10 Triathlon,LandPlane,1,4,1,1
C309,CEA-UFMG,CEA-309 Mehari,LandPlane,1,4,1,1
C30J,LOCKHEED MARTIN,C-130J Super Hercules,LandPlane,1,5,4,3
C310,CESSNA,310,LandPlane,1,5,2,1
C311,CEA-UFMG,CEA-311 Anequim,LandPlane,1,4,1,1
C320,CESSNA,320 Skyknight,LandPlane,1,5,2,1
C335,CESSNA,335,LandPlane,1,5,2,1
C336,CESSNA,336 Skymaster,LandPlane,1,5,2,1
C337,CESSNA,337 Super Skymaster,LandPlane,1,5,2,1
C340,CESSNA,340,LandPlane,1,5,2,1
C365,EKW,C-3605,LandPlane,1,4,1,3
C402,CESSNA,402 Businessliner,LandPlane,1,5,2,1
C404,CESSNA,404 Titan,LandPlane,1,5,2,1
C408,CESSNA,408 SkyCourier,LandPlane,1,5,2,3
C411,CESSNA,411,LandPlane,1,5,2,1
C414,CESSNA,414 Chancellor,LandPlane,1,5,2,1
C42,IKARUS,C-42 Bison,LandPlane,1,4,1,1
C421,CESSNA,421 Executive Commuter,LandPlane,1,5,2,1
C425,CESSNA,425 Conquest 1,LandPlane,1,5,2,3
C441,CESSNA,441 Conquest 2,LandPlane,1,5,2,3
C46,CURTISS,C-46 Commando,LandPlane,1,5,2,1
C500,CESSNA,500 Citation 1,LandPlane,1,5,2,4
C501,CESSNA,501 Citation 1SP,LandPlane,1,5,2,4
C510,CESSNA,510 Citation Mustang,LandPlane,1,5,2,4
C525,CESSNA,525 Citation CJ1,LandPlane,1,5,2,4
C526,CESSNA,526 CitationJet,LandPlane,1,5,2,4
C550,CESSNA,550 Citation 2,LandPlane,1,5,2,4
C551,CESSNA,551 Citation 2SP,LandPlane,1,5,2,4
C55B,CESSNA,550B Citation Bravo,LandPlane,1,5,2,4
C560,CESSNA,560 Citation 5,LandPlane,1,5,2,4
C56X,CESSNA,560XL Citation XLS,LandPlane,1,5,2,4
C5M,LOCKHEED,C-5 Super Galaxy,LandPlane,1,5,4,4
C650,CESSNA,650 Citation 7,LandPlane,1,5,2,4
C680,CESSNA,680 Citation Sovereign,LandPlane,1,5,2,4
C68A,CESSNA,680A Citation Latitude,LandPlane,1,5,2,4
C700,CESSNA,700 Citation Longitude,LandPlane,1,5,2,4
C72R,CESSNA,172RG Cutlass RG,LandPlane,1,4,1,1
C750,CESSNA,750 Citation 10,LandPlane,1,5,2,4
C77R,CESSNA,177RG Cardinal RG,LandPlane,1,4,1,1
C82,FAIRCHILD (1),C-82 Packet,LandPlane,1,5,2,1
C82R,CESSNA,R182 Skylane RG,LandPlane,1,4,1,1
C82S,CESSNA,T182 Turbo Skylane,LandPlane,1,4,1,1
C82T,CESSNA,TR182 Turbo Skylane RG,LandPlane,1,4,1,1
C919,COMAC,C-919,LandPlane,1,5,2,4
C97,BOEING,C-97 Stratofreighter,LandPlane,1,5,4,1
CA12,COMP AIR,CA-12 Comp Air 12,LandPlane,1,4,1,3
CA19,COMMONWEALTH (1),CA-19 Boomerang,LandPlane,1,4,1,1
CA1P,AEROCOMP,CA-10 Comp Air 10,LandPlane,1,4,1,1
CA1T,AEROCOMP,CA-10T  Comp Air 10T,LandPlane,1,4,1,3
CA25,COMMONWEALTH (1),CA-25 Winjeel,LandPlane,1,4,1,1
CA3,AEROCOMP,CA-3 Comp Air 3,LandPlane,1,4,1,1
CA4,AEROCOMP,CA-4 Comp Air 4,LandPlane,1,4,1,1
CA41,CORVUS,CA-41 Racer,LandPlane,1,4,1,1
CA6,AEROCOMP,CA-6 Comp Air 6,LandPlane,1,4,1,1
CA61,CVJETKOVIC,CA-61 Mini Ace,LandPlane,1,4,1,1
CA65,CVJETKOVIC,CA-65 Skyfly,LandPlane,1,4,1,1
CA7P,AEROCOMP,CA-7P Comp Air 7P,LandPlane,1,4,1,1
CA7T,AEROCOMP,CA-7T Comp Air 7T,LandPlane,1,4,1,3
CA8,COMP AIR,CA-8 Comp Air 8,LandPlane,1,4,1,3
CA9,COMP AIR,CA-9 Comp Air 9,LandPlane,1,4,1,3
CABI,UNIVERSAL COMPOSITE,Carbon Bird,LandPlane,1,4,1,3
CABN,PARAMOUNT,Cabinaire,LandPlane,1,4,1,1
CAD2,CLASS,Bush Caddy R-120,LandPlane,1,4,1,1
CAD4,CLASS,Bush Caddy L-160,LandPlane,1,4,1,1
CAJ,AEROCOMP,CA-J Comp Air Jet,LandPlane,1,4,1,4
CAML,SOPWITH,Camel Replica,LandPlane,1,4,1,1
CAMP,GREGA,GN-1 Aircamper,LandPlane,1,4,1,1
CAN4,CAMPANA,AN-4,LandPlane,1,4,1,1
CAPL,CAPELLA,Capella,LandPlane,1,4,1,1
CAR,AEROCAR,Aerocar,LandPlane,1,4,1,1
CARV,AVIATION TRADERS,ATL-98 Carvair,LandPlane,1,5,4,1
CASS,CASSUTT,Special,LandPlane,1,4,1,1
CAT,CONSOLIDATED,PBY Catalina,Amphibian,3,5,2,1
CAT1,CREATIVE FLIGHT,MPA Aerocat SR,LandPlane,1,4,1,1
CAT2,CREATIVE FLIGHT,MPA Aerocat TR,LandPlane,1,5,2,1
CAW,CESSNA,AW,LandPlane,1,4,1,1
CB1,HATZ,CB-1 Biplane,LandPlane,1,4,1,1
CC11,CUB CRAFTERS,CC-11 Carbon Cub,LandPlane,1,4,1,1
CC19,CUB CRAFTERS,CC-19 XCub,LandPlane,1,4,1,1
CD2,CLAUDIUS DORNIER,CD-2 Seastar,Amphibian,3,5,2,3
CDC6,CESSNA,DC-6,LandPlane,1,4,1,1
CDUS,ROTORSPORT,Calidus,Gyrocopter,1,9,1,1
CDW1,CHILTON,DW-1,LandPlane,1,4,1,1
CE15,CHERNOV,Che-15,SeaPlane,2,4,1,1
CE22,CHERNOV,Che-22 Corvette,Amphibian,3,5,2,1
CE23,CHERNOV,Che-23,Amphibian,3,4,1,1
CE25,CHERNOV,Che-25,Amphibian,3,5,2,1
CE27,CHERNOV,Che-27,Amphibian,3,5,2,1
CE43,CERVA,CE-43 Guepard,LandPlane,1,4,1,1
CEGL,CELAIR,Eagle 300,LandPlane,1,4,1,1
CELR,MIRAGE,Celerity,LandPlane,1,4,1,1
CENT,FOUND,100 Centennial,LandPlane,1,4,1,1
CFRE,COLYAER,Freedom,Amphibian,3,4,1,1
CG3,CAUDRON,G-3 Replica,LandPlane,1,4,1,1
CGAN,COLYAER,Gannet,SeaPlane,2,4,1,1
CH1,AIDC,A-CH-1 Chung-Tsing,LandPlane,1,4,1,3
CH10,ZENAIR,CH-100 Mono-Zénith,LandPlane,1,4,1,1
CH12,CICARE,CH-12,Helicopter,1,6,1,1
CH14,CICARE,CH-14 Aguilucho,Helicopter,1,6,1,3
CH15,ZENAIR,CH-150 Acro-Zénith,LandPlane,1,4,1,1
CH18,ZENAIR,CH-180 Super Acro-Zénith,LandPlane,1,4,1,1
CH20,ZENAIR,CH-200 Zénith,LandPlane,1,4,1,1
CH25,ZENAIR,CH-250 Zénith,LandPlane,1,4,1,1
CH2T,ZENAIR,CH-2000 Zénith,LandPlane,1,4,1,1
CH3,CHRISLEA,CH-3 Super Ace,LandPlane,1,4,1,1
CH30,ZENAIR,CH-300 Tri-Zénith,LandPlane,1,4,1,1
CH40,CHAMPION,402 Lancer,LandPlane,1,5,2,1
CH50,ZENAIR,CH-50 Mini Zénith,LandPlane,1,4,1,1
CH60,ZENAIR,CH-600 Zodiac,LandPlane,1,4,1,1
CH62,ZENAIR,CH-620 Gemini,LandPlane,1,5,2,1
CH64,ZENAIR,CH-640 Zodiac,LandPlane,1,4,1,1
CH65,AMD,CH-650 Zodiac,LandPlane,1,4,1,1
CH7,HELI-SPORT,CH-7 Kompress,Helicopter,1,6,1,1
CH70,ZENAIR,CH-701 Stol,LandPlane,1,4,1,1
CH75,ZENAIR,CH-750 Cruzer,LandPlane,1,4,1,1
CH7A,AERONCA,7AC Champion,LandPlane,1,4,1,1
CH7B,AMERICAN CHAMPION,7GCBC Citabria High Country Explorer,LandPlane,1,4,1,1
CH80,ZENAIR,CH-801 Stol,LandPlane,1,4,1,1
CHAN,CADCOR,Chanute,LandPlane,1,4,1,1
CHCS,ALPAERO,Choucas,LandPlane,1,4,1,1
CHGO,KOREAN AIR,CHK-91 Chang-Gong 91,LandPlane,1,4,1,1
CHIC,PODESVA,Chico,LandPlane,1,4,1,1
CHIF,PAWNEE,Chief,Helicopter,1,6,1,1
CHIN,ASAP,Chinook,LandPlane,1,4,1,1
CHIP,LEGER,Super-Chipmunk,LandPlane,1,4,1,1
CHR1,ELMWOOD,CA-05 Christavia Mk1,LandPlane,1,4,1,1
CHR4,ELMWOOD,CH-8 Christavia Mk4,LandPlane,1,4,1,1
CHSY,CHAYAIR,Sycamore,Gyrocopter,1,9,1,1
CICA,HYDROPLANE,SkyWind,LandPlane,1,5,2,1
CJ1,CORBY,CJ-1 Starlet,LandPlane,1,4,1,1
CJ6,NANCHANG,CJ-6,LandPlane,1,4,1,1
CKUO,AIDC,F-CK-1 Ching-Kuo,LandPlane,1,5,2,4
CL2P,CANADAIR,CL-215,Amphibian,3,5,2,1
CL2T,CANADAIR,CL-415,Amphibian,3,5,2,3
CL30,BOMBARDIER,Challenger 300,LandPlane,1,5,2,4
CL35,BOMBARDIER,Challenger 350,LandPlane,1,5,2,4
CL41,CANADAIR,CL-41 Tutor,LandPlane,1,4,1,4
CL4G,CANADAIR,CL-44-O Guppy,LandPlane,1,5,4,3
CL60,CANADAIR,Challenger 600,LandPlane,1,5,2,4
CL8,CARRIOU,CL-8 RSA Club,LandPlane,1,4,1,1
CLA,CALLAIR,A-2,LandPlane,1,4,1,1
CLB1,AERO COMMANDER,B-1 Ag Commander,LandPlane,1,4,1,1
CLBR,FISHER AERO,Celebrity,LandPlane,1,4,1,1
CLD2,ROTORTEC,Cloud Dancer 2,Gyrocopter,1,9,1,1
CLDS,REARWIN,Cloudster,LandPlane,1,4,1,1
CLON,ROTORSPORT,Cavalon,Gyrocopter,1,9,1,1
CMA3,COLYAER,Martin 3,LandPlane,1,4,1,1
CMAS,CESSNA,C-165 Airmaster,LandPlane,1,4,1,1
CMDE,AIR COMMAND,Commander Elite Side-by-Side,Gyrocopter,1,9,1,1
CMDT,AIR COMMAND,Commander  Elite Tandem,Gyrocopter,1,9,1,1
CN12,CIRCA,Nieuport 12-7/8,LandPlane,1,4,1,1
CN35,CASA,CN-235 Persuader,LandPlane,1,5,2,3
CNBR,ENGLISH ELECTRIC,Canberra,LandPlane,1,5,2,4
CNDR,GENERAL AVIA,F-20TP Condor,LandPlane,1,5,2,3
CNGP,CESSNA,NGP,LandPlane,1,4,1,1
CNUK,FLEET,80 Canuck,LandPlane,1,4,1,1
CO50,COBALT,Co-50 Valkyrie,LandPlane,1,4,1,1
COAR,COBRA,Arrow,LandPlane,1,4,1,1
COBR,DEBORDE-ROLLAND,Cobra,LandPlane,1,4,1,1
COL3,CESSNA,350 Corvalis,LandPlane,1,4,1,1
COL4,CESSNA,400 Corvalis TT,LandPlane,1,4,1,1
COLT,TEXAS AIRCRAFT,TA-01,LandPlane,1,4,1,1
COMU,HELICOM,H-1 Commuter,Helicopter,1,6,1,1
CONI,LOCKHEED,C-121 Constellation,LandPlane,1,5,4,1
COOT,TAYLOR (2),Coot,Amphibian,3,4,1,1
CORO,CORVUS,CA-21 Phantom,LandPlane,1,4,1,1
CORR,SIVEL,SD-27 Corriedale,LandPlane,1,4,1,1
CORS,CHANCE VOUGHT,F4U Corsair,LandPlane,1,4,1,1
CORV,WOLFSBERG,Corvus,LandPlane,1,5,2,1
COUG,NESMITH,Cougar,LandPlane,1,4,1,1
COUR,HELIO,U-10 Super Courier,LandPlane,1,4,1,1
COY2,RANS,S-6 Coyote 2,LandPlane,1,4,1,1
COZJ,CO-Z,CozyJet,LandPlane,1,4,1,4
COZY,AEROCAD,AeroCanard,LandPlane,1,4,1,1
CP10,MUDRY,CAP-10,LandPlane,1,4,1,1
CP13,PIEL,Super Emeraude (CP-1310/1315/1330),LandPlane,1,4,1,1
CP20,MUDRY,CAP-20,LandPlane,1,4,1,1
CP21,MUDRY,CAP-21,LandPlane,1,4,1,1
CP22,GILES,G-222,LandPlane,1,4,1,1
CP23,MUDRY,CAP-230,LandPlane,1,4,1,1
CP30,PIEL,CP-30 Emeraude,LandPlane,1,4,1,1
CP32,PIEL,Super Emeraude (CP-320/325/328),LandPlane,1,4,1,1
CP60,PIEL,CP-60 Diamant,LandPlane,1,4,1,1
CP65,PORTERFIELD,CP-65 Collegiate,LandPlane,1,4,1,1
CP75,PIEL,CP-70 Béryl,LandPlane,1,4,1,1
CP80,PIEL,CP-80 Zéphir,LandPlane,1,4,1,1
CP90,PIEL,CP-90 Pinocchio 2,LandPlane,1,4,1,1
CPNA,PENA,Capena,LandPlane,1,4,1,1
CPUP,CULP,Sopwith Pup,LandPlane,1,4,1,1
CR10,DYN'AERO,CR-100,LandPlane,1,4,1,1
CRA1,CRANFIELD,A-1 Eagle,LandPlane,1,4,1,1
CRAC,PLUMB,CJ-3 Cracker Jack,LandPlane,1,4,1,1
CRBN,CURTISS,50 Robin,LandPlane,1,4,1,1
CRER,RANS,S-7 Courier,LandPlane,1,4,1,1
CRES,PACIFIC AEROSPACE,Cresco,LandPlane,1,4,1,3
CRIO,MICROLEVE,Corsario,Amphibian,3,4,1,1
CRJ1,CANADAIR,Regional Jet CRJ-100,LandPlane,1,5,2,4
CRJ2,CANADAIR,Regional Jet CRJ-200,LandPlane,1,5,2,4
CRJ7,CANADAIR,Regional Jet CRJ-700,LandPlane,1,5,2,4
CRJ9,CANADAIR,Regional Jet CRJ-900,LandPlane,1,5,2,4
CRJX,BOMBARDIER,Regional Jet CRJ-1000,LandPlane,1,5,2,4
CRUZ,CZAW,SportCruiser,LandPlane,1,4,1,1
CT4,PACIFIC AEROSPACE,CT-4 Airtrainer,LandPlane,1,4,1,1
CTAH,RAINBOW SKYREACH,Cheetah,LandPlane,1,4,1,1
CTLN,FLY SYNTHESIS,Catalina,Amphibian,3,4,1,1
CUB2,ACES HIGH,Cuby 2,LandPlane,1,4,1,1
CUCA,CULVER,Cadet,LandPlane,1,4,1,1
CULP,CULP,Special,LandPlane,1,4,1,1
CULV,CULVER,V,LandPlane,1,4,1,1
CULX,FISHER AERO,Culex,LandPlane,1,5,2,1
CVLP,CONVAIR,C-131 Samaritan,LandPlane,1,5,2,1
CVLT,CONVAIR,C-131H,LandPlane,1,5,2,3
CX5,THATCHER,CX-5,LandPlane,1,4,1,1
CYCL,CARLSON,Skycycle,LandPlane,1,4,1,1
CYGT,HAWKER,Cygnet Replica,LandPlane,1,4,1,1
D1,WING,D-1 Derringer,LandPlane,1,5,2,1
D11,JODEL,D-11,LandPlane,1,4,1,1
D139,DORNA,D-139 Parandeh Abi,LandPlane,1,4,1,1
D140,JODEL,D-140 Mousquetaire,LandPlane,1,4,1,1
D150,JODEL,D-150 Mascaret,LandPlane,1,4,1,1
D18,JODEL,D-18,LandPlane,1,4,1,1
D201,D'APUZZO,D-201 Sportwing,LandPlane,1,4,1,1
D21,FOKKER,D-21 Replica,LandPlane,1,4,1,1
D228,DORNIER,228,LandPlane,1,5,2,3
D25,NEW STANDARD,D-25,LandPlane,1,4,1,1
D250,CENTRE EST,DR-250 Capitaine,LandPlane,1,4,1,1
D253,CENTRE EST,DR-253 Regent,LandPlane,1,4,1,1
D28D,DORNIER,Do-28D Skyservant,LandPlane,1,5,2,1
D28T,DORNIER,Do-28D-6 Turbo Skyservant,LandPlane,1,5,2,3
D31,DRUINE,D-31 Turbulent,LandPlane,1,4,1,1
D328,DORNIER,328,LandPlane,1,5,2,3
D39,AKAFLIEG DARMSTADT,D-39,LandPlane,1,4,1,1
D4,AUSTER,D-4,LandPlane,1,4,1,1
D5,AUSTER,D-5,LandPlane,1,4,1,1
D5TU,DRUINE,D-5 Turbi,LandPlane,1,4,1,1
D6,AUSTER,D-6,LandPlane,1,4,1,1
D6CR,DRUINE,D-60 Condor,LandPlane,1,4,1,1
D7,FOKKER,D-7 Replica,LandPlane,1,4,1,1
D8,FOKKER,D-8 Replica,LandPlane,1,4,1,1
DA2,DAVIS,DA-2,LandPlane,1,4,1,1
DA36,DIAMOND,DA-36 E-Star,LandPlane,1,4,1,10
DA40,DIAMOND,DA-40 Diamond Star,LandPlane,1,4,1,1
DA42,DIAMOND,DA-42 Twin Star,LandPlane,1,5,2,1
DA5,DAVIS,DA-5,LandPlane,1,4,1,1
DA50,DIAMOND,DA-50 SuperStar,LandPlane,1,4,1,1
DA62,DIAMOND,DA-62,LandPlane,1,5,2,1
DAHU,PENA,Dahu,LandPlane,1,4,1,1
DAKH,FISHER,Dakota Hawk,LandPlane,1,4,1,1
DAL1,SPEZIO,DAL-1 Tuholer,LandPlane,1,4,1,1
DAL4,DALLACH,D-4 Fascination,LandPlane,1,4,1,1
DAL5,DALLACH,D-5 Evolution,LandPlane,1,4,1,1
DART,PARRISH,Dart,LandPlane,1,4,1,1
DC10,MCDONNELL DOUGLAS,DC-10,LandPlane,1,5,3,4
DC2,DOUGLAS,DC-2,LandPlane,1,5,2,1
DC3,DOUGLAS,DC-3,LandPlane,1,5,2,1
DC3S,DOUGLAS,Super DC-3,LandPlane,1,5,2,1
DC3T,BASLER,BT-67 Turbo 67,LandPlane,1,5,2,3
DC4,DOUGLAS,DC-4,LandPlane,1,5,4,1
DC6,DOUGLAS,DC-6,LandPlane,1,5,4,1
DC7,DOUGLAS,DC-7,LandPlane,1,5,4,1
DC85,MCDONNELL DOUGLAS,DC-8-50,LandPlane,1,5,4,4
DC86,MCDONNELL DOUGLAS,DC-8-60,LandPlane,1,5,4,4
DC87,MCDONNELL DOUGLAS,DC-8-70,LandPlane,1,5,4,4
DC91,MCDONNELL DOUGLAS,DC-9-10,LandPlane,1,5,2,4
DC92,MCDONNELL DOUGLAS,DC-9-20,LandPlane,1,5,2,4
DC93,MCDONNELL DOUGLAS,DC-9-30,LandPlane,1,5,2,4
DC94,MCDONNELL DOUGLAS,DC-9-40,LandPlane,1,5,2,4
DC95,MCDONNELL DOUGLAS,DC-9-50,LandPlane,1,5,2,4
DEAG,AMAX,Double Eagle,Gyrocopter,1,9,1,1
DEFI,RUTAN,40 Defiant,LandPlane,1,5,2,1
DELF,LYAVIN,Delfin,LandPlane,1,4,1,1
DFL6,DAMOURE-FABRE,DFL-6 Saphir,LandPlane,1,4,1,1
DFLY,VIKING (1),Dragonfly,LandPlane,1,4,1,1
DG15,HOWARD (1),DGA-15,LandPlane,1,4,1,1
DG1T,DG FLUGZEUGBAU,DG-1000T,LandPlane,1,4,1,1
DG40,GLASER-DIRKS,DG-400,LandPlane,1,4,1,1
DG50,GLASER-DIRKS,DG-500M,LandPlane,1,4,1,1
DG60,GLASER-DIRKS,DG-600M,LandPlane,1,4,1,1
DG80,DG FLUGZEUGBAU,DG-800,LandPlane,1,4,1,1
DH2T,DE HAVILLAND CANADA,DHC-2 Mk3 Turbo Beaver,LandPlane,1,4,1,3
DH3T,DE HAVILLAND CANADA,DHC-3 Turbo Otter,LandPlane,1,4,1,3
DH4T,DE HAVILLAND CANADA,DHC-4 Turbo Caribou,LandPlane,1,5,2,3
DH60,DE HAVILLAND,DH-60 Moth,LandPlane,1,4,1,1
DH80,DE HAVILLAND,DH-80 Puss Moth,LandPlane,1,4,1,1
DH82,DE HAVILLAND,DH-82 Tiger Moth,LandPlane,1,4,1,1
DH83,DE HAVILLAND,DH-83 Fox Moth,LandPlane,1,4,1,1
DH84,DE HAVILLAND,DH-84 Dragon,LandPlane,1,5,2,1
DH85,DE HAVILLAND,DH-85 Leopard Moth,LandPlane,1,4,1,1
DH87,DE HAVILLAND,DH-87 Hornet Moth,LandPlane,1,4,1,1
DH88,DE HAVILLAND,DH-88 Comet Replica,LandPlane,1,5,2,1
DH89,DE HAVILLAND,DH-89 Dragon Rapide,LandPlane,1,5,2,1
DH8A,DE HAVILLAND CANADA,DHC-8-100 Dash 8,LandPlane,1,5,2,3
DH8B,DE HAVILLAND CANADA,DHC-8-200 Dash 8,LandPlane,1,5,2,3
DH8C,DE HAVILLAND CANADA,DHC-8-300 Dash 8,LandPlane,1,5,2,3
DH8D,DE HAVILLAND CANADA,DHC-8-400 Dash 8,LandPlane,1,5,2,3
DH90,DE HAVILLAND,DH-90 Dragonfly,LandPlane,1,5,2,1
DH94,DE HAVILLAND,DH-94 Moth Minor,LandPlane,1,4,1,1
DHA3,DE HAVILLAND AUSTRALIA,DHA-3 Drover,LandPlane,1,5,3,1
DHC1,DE HAVILLAND,DHC-1 Chipmunk,LandPlane,1,4,1,1
DHC2,DE HAVILLAND CANADA,DHC-2 Mk1 Beaver,LandPlane,1,4,1,1
DHC3,DE HAVILLAND CANADA,DHC-3 Otter,LandPlane,1,4,1,1
DHC4,DE HAVILLAND CANADA,DHC-4 Caribou,LandPlane,1,5,2,1
DHC5,DE HAVILLAND CANADA,DHC-5 Buffalo,LandPlane,1,5,2,3
DHC6,DE HAVILLAND CANADA,DHC-6 Twin Otter,LandPlane,1,5,2,3
DHC7,DE HAVILLAND CANADA,DHC-7 Dash 7,LandPlane,1,5,4,3
DIES,PENNEC-LUCAS,Dieselis,LandPlane,1,4,1,1
DIJ3,DIJKMAN-DULKES,Dijkhastar 3,LandPlane,1,4,1,1
DIJ4,DIJKMAN-DULKES,Dijkhastar 4,Amphibian,3,4,1,1
DIMO,DIAMOND,HK-36 Super Dimona,LandPlane,1,4,1,1
DINO,GANZAVIA,GAK-22 Dinó,LandPlane,1,4,1,1
DIPR,COLLINS,Dipper,Amphibian,3,4,1,1
DISC,SCHEMPP-HIRTH,Discus 2T,LandPlane,1,4,1,1
DJET,DIAMOND,DJ-1 D-Jet,LandPlane,1,4,1,4
DJIN,SUD-OUEST,SO-1221 Djinn,Helicopter,1,6,1,3
DLH2,LANGE,E-1 Antares DLR-H2,LandPlane,1,4,1,10
DNGO,AERORIC,Dingo,Amphibian,3,4,1,3
DO27,DORNIER,Do-27,LandPlane,1,4,1,1
DO28,DORNIER,Do-28,LandPlane,1,5,2,1
DOCX,KOVACH-ELMENDORF,ES-3 Doc's RX,LandPlane,1,4,1,1
DON,UNIKOMTRANSO,Don,LandPlane,1,4,1,1
