icao,manufacturer,model,icaoClass,aircraftCategoryCode,aircraftType,engineCount,engineType
AC11,NORTH AMERICAN ROCKWELL,Commander 112,LandPlane,1,4,1,1
AC31,AVICOPTER,AC-311,Helicopter,1,6,1,3
AC33,AVICOPTER,AC-313,Helicopter,1,6,3,3
AC4,LIGHT WING,AC-4,LandPlane,1,4,1,1
AC50,AERO (1),Commander 500,LandPlane,1,5,2,1
AC52,AERO (1),Commander 520,LandPlane,1,5,2,1
AC56,AERO (1),Commander 560,LandPlane,1,5,2,1
AC5A,NANJING,AC-500 Aircar,LandPlane,1,4,1,1
AC5M,AVIASTROITEL,AC-5M,LandPlane,1,4,1,1
AC68,AERO (1),Commander 680 Super,LandPlane,1,5,2,1
AC6L,NORTH AMERICAN ROCKWELL,Commander 685,LandPlane,1,5,2,1
AC72,AERO (1),Commander 720 Alti Cruiser,LandPlane,1,5,2,1
AC80,AERO COMMANDER,680T Turbo Commander,LandPlane,1,5,2,3
AC90,NORTH AMERICAN ROCKWELL,Turbo Commander 690,LandPlane,1,5,2,3
AC95,ROCKWELL,Jetprop Commander 1000,LandPlane,1,5,2,3
ACAM,LOCKWOOD,Air Cam,LandPlane,1,5,2,1
ACAR,AUSTER,J-5 Autocar,LandPlane,1,4,1,1
ACED,POWELL,P-70 Acey Deucy,LandPlane,1,4,1,1
ACJR,SPENCER,Air Car Junior,Amphibian,3,4,1,1
ACPL,OPTION AIR,Acapella,LandPlane,1,4,1,1
ACR2,ACRO SPORT,Acro-Sport 2,LandPlane,1,4,1,1
ACRD,AVIA (3),Accord,LandPlane,1,5,2,1
ACRO,ACRO SPORT,Acro-Sport 1,LandPlane,1,4,1,1
ACSR,VICTA,Aircruiser,LandPlane,1,4,1,1
AD20,BEIJING KEYUAN,AD-200,LandPlane,1,4,1,1
ADEL,USTINOV,Adel,Gyrocopter,1,9,1,1
ADVE,AUSTER,J-5 Adventurer,LandPlane,1,4,1,1
ADVN,ADVENTURE AIR,Adventurer,Amphibian,3,4,1,1
AE45,LET,Aero 45,LandPlane,1,5,2,1
AEA1,AMERICAN EAGLE,A-1,LandPlane,1,4,1,1
AERK,AERONCA,K Scout,LandPlane,1,4,1,1
AEST,AEROSTAR (1),600,LandPlane,1,5,2,1
AFOX,HALLEY,Apollo Fox,LandPlane,1,4,1,1
AG02,GATARD,AG-02 Poussin,LandPlane,1,4,1,1
AG1,HALLEY,Apollo AG-1 Gyro,Gyrocopter,1,9,1,1
AG10,CAIGA,AG-100,LandPlane,1,4,1,1
AG60,CAIGA,AG-600 Kunlong,Amphibian,3,5,4,3
AGSH,AERO GARE,Sea Hawker,Amphibian,3,4,1,1
AI10,IKAR,Ai-10 Ikar,LandPlane,1,4,1,1
AIGT,AUSTER,J-5F Aiglet Trainer,LandPlane,1,4,1,1
AIRD,BEAGLE-AUSTER,A-109 Airedale,LandPlane,1,4,1,1
AIRL,AERONIX,Airelle,LandPlane,1,5,2,1
AJ27,COMAC,ARJ-21-700,LandPlane,1,5,2,4
AJET,DASSAULT-DORNIER,Alpha Jet,LandPlane,1,5,2,4
AK1,AKAFLIEG KARLSRUHE,AK-1,LandPlane,1,4,1,1
AKOY,LISA,Akoya,Amphibian,3,4,1,1
AKRO,STEPHENS,Akro,LandPlane,1,4,1,1
ALBU,AVIATION DEVELOPMENT,Alaskan Bushmaster,LandPlane,1,4,1,1
ALC1,ALTAIR COELHO,AC-11,LandPlane,1,4,1,1
ALGR,FANTASY AIR,Allegro,LandPlane,1,4,1,1
ALH,HINDUSTAN,ALH Dhruv,Helicopter,1,6,2,3
ALIG,ARION,LS-1 Lightning,LandPlane,1,4,1,1
ALIZ,BREGUET,1050 Alizé,LandPlane,1,4,1,3
ALO2,AEROSPATIALE,Alouette 2,Helicopter,1,6,1,3
ALO3,AEROSPATIALE,Alouette 3,Helicopter,1,6,1,3
ALPI,AUSTER,J-5R Alpine,LandPlane,1,4,1,1
ALSL,AIRLONY,Skylane,LandPlane,1,4,1,1
ALTO,DIRECT FLY,Alto,LandPlane,1,4,1,1
AM3,AERITALIA-AERMACCHI,AM-3,LandPlane,1,4,1,1
AMX,AMX,AMX,LandPlane,1,4,1,4
AN12,ANTONOV,An-12,LandPlane,1,5,4,3
AN2,ANTONOV,An-2,LandPlane,1,4,1,1
AN22,ANTONOV,An-22 Antheus,LandPlane,1,5,4,3
AN24,ANTONOV,An-24,LandPlane,1,5,2,3
AN26,ANTONOV,An-26,LandPlane,1,5,2,3
AN28,ANTONOV,An-28,LandPlane,1,5,2,3
AN3,ANTONOV,An-3,LandPlane,1,4,1,3
AN30,ANTONOV,An-30,LandPlane,1,5,2,3
AN32,ANTONOV,An-32,LandPlane,1,5,2,3
AN38,ANTONOV,An-38,LandPlane,1,5,2,3
AN70,ANTONOV,An-70,LandPlane,1,5,4,3
AN72,ANTONOV,An-72,LandPlane,1,5,2,4
AN8,ANTONOV,An-8,LandPlane,1,5,2,3
ANGL,KING'S,44 Angel,LandPlane,1,5,2,1
ANKA,TAI,Anka,LandPlane,1,4,1,1
ANSN,AVRO,652 Anson,LandPlane,1,5,2,1
ANST,KAZAN,Ansat,Helicopter,1,6,2,3
AP20,AEROPRAKT,A-20,LandPlane,1,4,1,1
AP22,AEROPRAKT,A-22,LandPlane,1,4,1,1
AP24,AEROPRAKT,A-24 Viking,Amphibian,3,4,1,1
AP26,AEROPRAKT,A-26 Twin Vista,LandPlane,1,5,2,1
AP28,AEROPRAKT,A-28 Victor,LandPlane,1,5,2,1
AP32,AEROPRAKT,A-32 Vixxen,LandPlane,1,4,1,1
AP36,AEROPRAKT,A-36 Vulcan,LandPlane,1,5,2,1
APM2,ISSOIRE,APM-20 Lionceau,LandPlane,1,4,1,1
APM3,ISSOIRE,APM-30 Lion,LandPlane,1,4,1,1
APM4,ISSOIRE,APM-40 Simba,LandPlane,1,4,1,1
APUP,AEROPUP,Aeropup,LandPlane,1,4,1,1
AR1,SILVERLIGHT,AR-1 American Ranger 1,Gyrocopter,1,9,1,1
AR11,AERONCA,11 Chief,LandPlane,1,4,1,1
AR15,AERONCA,15 Sedan,LandPlane,1,4,1,1
AR50,AERONCA,50 Chief,LandPlane,1,4,1,1
AR5T,AERONCA,50 Tandem,LandPlane,1,4,1,1
AR65,AERONCA,65 Super Chief,LandPlane,1,4,1,1
AR6T,AERONCA,60 Tandem,LandPlane,1,4,1,1
AR79,ARADO,Ar-79,LandPlane,1,4,1,1
ARC3,AERONCA,3 Collegain,LandPlane,1,4,1,1
ARCE,SCHEMPP-HIRTH,Arcus E,LandPlane,1,4,1,10
ARCP,SCHEMPP-HIRTH,Arcus T,LandPlane,1,4,1,1
ARES,SCALED,Ares,LandPlane,1,4,1,4
ARKS,ACEAIR,A-200 Aeriks 200,LandPlane,1,4,1,1
ARON,GENERAL AVIA,F-220 Airone,LandPlane,1,4,1,1
ARV1,ARV,Super 2,LandPlane,1,4,1,1
ARVA,IAI,201 Arava,LandPlane,1,5,2,3
ARWF,ARROW (1),F Sport,LandPlane,1,4,1,1
AS02,FFA,AS-202-15 Bravo,LandPlane,1,4,1,1
AS14,SCHLEICHER,ASK-14,LandPlane,1,4,1,1
AS16,SCHLEICHER,ASK-16,LandPlane,1,4,1,1
AS20,SCHLEICHER,ASW-20TOP,LandPlane,1,4,1,1
AS21,SCHLEICHER,ASK-21Mi,LandPlane,1,4,1,1
AS22,SCHLEICHER,ASW-22M,LandPlane,1,4,1,1
AS24,SCHLEICHER,ASW-24E,LandPlane,1,4,1,1
AS25,SCHLEICHER,ASH-25M,LandPlane,1,4,1,1
AS26,SCHLEICHER,ASH-26E,LandPlane,1,4,1,1
AS28,SCHLEICHER,ASW-28E,LandPlane,1,4,1,1
AS29,SCHLEICHER,ASG-29E,LandPlane,1,4,1,1
AS2T,FFA,AS-202-32TP Turbine Bravo,LandPlane,1,4,1,3
AS30,SCHLEICHER,ASH-30Mi,LandPlane,1,4,1,1
AS31,SCHLEICHER,ASH-31Mi,LandPlane,1,4,1,1
AS32,AEROSPATIALE,AS-532 Cougar,Helicopter,1,6,2,3
AS3B,AEROSPATIALE,AS-532A2 Cougar Mk2,Helicopter,1,6,2,3
AS50,AEROSPATIALE,AS-350 Ecureuil,Helicopter,1,6,1,3
AS55,AEROSPATIALE,AS-355 Ecureuil 2,Helicopter,1,6,2,3
AS65,AEROSPATIALE,AS-365 Dauphin 2,Helicopter,1,6,2,3
AS80,STARCK,AS-80 Holiday,LandPlane,1,4,1,1
ASO4,ASSO AEREI,Asso 4 Whisky,LandPlane,1,4,1,1
ASO5,ASSO AEREI,Asso 5 Champion,LandPlane,1,4,1,1
ASOX,ASSO AEREI,Asso 10 Jewel,LandPlane,1,4,1,1
ASTO,TECNAM,Astore,LandPlane,1,4,1,1
ASTR,IAI,1125 Astra,LandPlane,1,5,2,4
AT2P,AIR TRACTOR,AT-250,LandPlane,1,4,1,1
AT3,AIDC,AT-3 Tzu-Chung,LandPlane,1,5,2,4
AT3P,AIR TRACTOR,AT-300,LandPlane,1,4,1,1
AT3T,AIR TRACTOR,AT-302,LandPlane,1,4,1,3
AT43,ATR,ATR-42-300,LandPlane,1,5,2,3
AT44,ATR,ATR-42-400,LandPlane,1,5,2,3
AT45,ATR,ATR-42-500,LandPlane,1,5,2,3
AT46,ATR,ATR-42-600,LandPlane,1,5,2,3
AT5P,AIR TRACTOR,AT-501,LandPlane,1,4,1,1
AT5T,AIR TRACTOR,AT-502,LandPlane,1,4,1,3
AT6T,AIR TRACTOR,AT-602,LandPlane,1,4,1,3
AT72,ATR,ATR-72-201,LandPlane,1,5,2,3
AT73,ATR,ATR-72-211,LandPlane,1,5,2,3
AT75,ATR,ATR-72-212A (500),LandPlane,1,5,2,3
AT76,ATR,ATR-72-212A (600),LandPlane,1,5,2,3
AT8T,AIR TRACTOR,AT-802,LandPlane,1,4,1,3
ATAC,AIRCRAFT TECHNOLOGIES,Acro 1,LandPlane,1,4,1,1
ATG1,ATG,ATG-1 Javelin,LandPlane,1,5,2,4
ATIS,AIRCRAFT TECHNOLOGIES,Atlantis,LandPlane,1,4,1,1
ATL,ROBIN,ATL,LandPlane,1,4,1,1
